text,score
배송이 빠르고 제품 상태가 좋아요,0.03
잘 받았습니다 감사합니다,0.03
포장이 꼼꼼하게 되어 있었어요,0.04
제품 품질이 좋네요 재구매 의사 있습니다,0.04
설명대로 제품이 잘 왔어요,0.05
친절한 응대 감사드립니다,0.03
가격 대비 품질이 좋습니다,0.05
배송 빠르고 제품도 만족스럽습니다,0.04
다음에도 구매할게요,0.03
생각보다 훨씬 좋네요,0.04
사진과 동일하고 만족합니다,0.05
선물용으로 구매했는데 좋아요,0.04
색상이 예쁘고 품질도 좋아요,0.05
문의에 빠른 답변 감사합니다,0.03
이 제품 어떻게 사용하나요,0.08
사이즈 교환 가능한가요,0.07
재고 언제 들어오나요,0.07
다른 색상도 있나요,0.07
배송 언제 오나요,0.08
영수증 다시 발행 가능한가요,0.08
어린이도 사용 가능한가요,0.07
A/S는 어디서 받나요,0.07
이 정도면 괜찮은 것 같아요,0.12
나쁘지 않아요,0.12
무난하게 쓸 수 있어요,0.10
친구에게도 추천했어요,0.05
재구매했습니다,0.04
항상 여기서 구매해요,0.04
믿고 살 수 있는 판매자입니다,0.05
후기 보고 구매했는데 만족해요,0.05
처음 구매인데 만족스러워요,0.05
합리적인 가격입니다,0.05
퀄리티 대비 가격이 좋아요,0.06
전체적으로 만족합니다,0.04
제품 잘 받았어요 감사합니다,0.03
할인 쿠폰 어디서 받나요,0.08
회원 가입 혜택이 있나요,0.07
적립금은 어떻게 사용하나요,0.08
무료배송 기준이 얼마인가요,0.08
주문 취소하고 싶어요,0.10
배송지 변경 가능한가요,0.08
선물 포장 서비스 있나요,0.07
성능이 기대 이상입니다,0.04
가볍고 사용하기 편해요,0.04
설치가 간편해요,0.05
고객센터 응대가 친절했어요,0.04
전반적으로 좋은 경험이었습니다,0.04
오래 기다린 보람이 있네요,0.05
두 번째 구매입니다,0.04
반품 절차가 어떻게 되나요,0.10
제품이 마음에 쏙 들어요,0.04
포장도 예쁘고 제품도 좋아요,0.04
빠른 배송에 감사드립니다,0.03
꼼꼼하게 포장해 주셨네요,0.04
상품 품질이 정말 좋아요,0.05
판매자분 친절하세요,0.03
재구매 의향 있어요,0.04
주변에 추천할게요,0.05
별다른 이상 없이 잘 왔어요,0.04
만족스러운 구매였어요,0.04
가성비 최고입니다,0.05
이 가격에 이 품질이면 대박이에요,0.05
기대보다 훨씬 좋네요,0.04
포장이 너무 예뻐요,0.04
빨리 왔어요 감사합니다,0.03
깔끔하게 잘 포장되어 있었어요,0.04
문의 드렸는데 빠르게 답변해 주셨어요,0.04
상품 상태 완벽합니다,0.04
설명서가 잘 되어 있어서 사용하기 편해요,0.05
예상보다 빨리 도착해서 좋았어요,0.04
사용해보니 정말 편리해요,0.05
디자인이 정말 예쁩니다,0.04
내구성이 좋아 보여요,0.05
오래 쓸 수 있을 것 같아요,0.05
배송이 생각보다 빨랐어요,0.04
상품 정보가 정확하게 표기되어 있어요,0.05
친절한 판매자분 감사합니다,0.03
포장이 완벽해서 제품 손상 없이 받았어요,0.04
색감이 사진이랑 똑같아요,0.05
선물용으로 완벽해요,0.04
